file_id,file,main_image,image_component,patient_id,license,file_size,caption,case_substring,image_type,image_subtype,radiology_region,radiology_region_granular,radiology_view,ml_labels_for_supervised_classification,gt_labels_for_semisupervised_classification,is_chest
file_0000520,PMC10031013_fcvm-10-1117244-g0003_B_2_2.webp,PMC10031013_01_fcvm-10-1117244-g0003.jpg,b,PMC10031013_01,CC BY,5732,"Chest x-ray. And on February 16, 2022 This showed correct lead position on admission.","['Figures 3A, B']",radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000530,PMC10031123_fcvm-10-1071111-g001_B_2_4.webp,PMC10031123_01_fcvm-10-1071111-g001.jpg,b,PMC10031123_01,CC BY,11096,(B-D) Cardiac catheterization revealed blood supply of upper right pulmonary artery comes from right subclavian artery and inferior right pulmonary artery was supplied by left subclavian artery.,"['Figures 1B,D']",radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0000531,PMC10031123_fcvm-10-1071111-g001_C_3_4.webp,PMC10031123_01_fcvm-10-1071111-g001.jpg,c,PMC10031123_01,CC BY,6250,(B-D) Cardiac catheterization revealed blood supply of upper right pulmonary artery comes from right subclavian artery and inferior right pulmonary artery was supplied by left subclavian artery.,"['Figures 1B,D']",radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0000532,PMC10031123_fcvm-10-1071111-g001_D_4_4.webp,PMC10031123_01_fcvm-10-1071111-g001.jpg,d,PMC10031123_01,CC BY,7156,(B-D) Cardiac catheterization revealed blood supply of upper right pulmonary artery comes from right subclavian artery and inferior right pulmonary artery was supplied by left subclavian artery.,"['Figures 1B,D']",radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0000674,PMC10034413_gr1_undivided_1_1.webp,PMC10034413_01_gr1.jpg,undivided,PMC10034413_01,CC BY,28670,Chest X-ray revealed a large left-sided pneumothorax (red star) with no tension.,['Fig. 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000677,PMC10034413_gr5_undivided_1_1.webp,PMC10034413_01_gr5.jpg,undivided,PMC10034413_01,CC BY,25016,Chest X-ray revealed complete resolution of pneumothorax.,['Fig. 5'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000730,PMC10038010_IMCRJ-16-187-g0001_undivided_1_1.webp,PMC10038010_01_IMCRJ-16-187-g0001.jpg,undivided,PMC10038010_01,CC BY-NC,26654,The patient's chest x-ray indicated no pathology or localized consolidation.,[],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000735,PMC10038749_10-1055-s-0043-1764376-i220145-2_undivided_1_1.webp,PMC10038749_01_10-1055-s-0043-1764376-i220145-2.jpg,undivided,PMC10038749_01,CC BY,26806,Chest X-ray showing cardiomegaly and normal pulmonary parenchyma.,['Fig. 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0000960,PMC10050451_fsurg-10-1140212-g002_B_2_2.webp,PMC10050451_01_fsurg-10-1140212-g002.jpg,b,PMC10050451_01,CC BY,4818,Chest x-ray Preoperative electrocardiogram indicated sinus arrhythmia and chest x-ray showed normal chest image.,['Figure 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0001149,PMC10062231_ICRP_A_2181175_F0001_B_undivided_1_1.webp,PMC10062231_01_ICRP_A_2181175_F0001_B.jpg,undivided,PMC10062231_01,CC BY,22050,Chest x-ray of the patient shows the presence of air located under the diaphragm.,['Figure 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0001559,PMC10070724_fcvm-10-1076118-g001_A_1_8.webp,PMC10070724_01_fcvm-10-1076118-g001.jpg,a,PMC10070724_01,CC BY,9086,(A) Chest x-ray showed significant cardiomegaly.,['Figure 1A'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0001627,PMC10071913_JFMPC-12-181-g002_a_1_3.webp,PMC10071913_02_JFMPC-12-181-g002.jpg,a,PMC10071913_02,CC BY-NC-SA,5156,Chest Radiograph (PA view) showing multiple cavitary nodules involving bilateral mid and lower zone.,['Figure 2a'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'frontal', 'posteroanterior', 'x_ray', 'mass']",True
file_0001628,PMC10071913_JFMPC-12-181-g002_b_2_3.webp,PMC10071913_02_JFMPC-12-181-g002.jpg,b,PMC10071913_02,CC BY-NC-SA,6690,CT-Thorax showing multiple cavitary nodules with left sided pleural effusion.,['Figure 2b'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0001630,PMC10071913_JFMPC-12-181-g003_a_1_2.webp,PMC10071913_03_JFMPC-12-181-g003.jpg,a,PMC10071913_03,CC BY-NC-SA,8552,Chest Radiograph (PA view) showing bilateral cavitary nodules with left sided effusion.,['Figure 3a'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'frontal', 'posteroanterior', 'x_ray', 'mass']",True
file_0001633,PMC10071914_JFMPC-12-165-g001_b_2_2.webp,PMC10071914_01_JFMPC-12-165-g001.jpg,b,PMC10071914_01,CC BY-NC-SA,3536,Showing chest radiograph with bilateral mid and lower zone opacities.,['Figure 1b'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray', 'mass']",True
file_0001746,PMC10073726_fcvm-10-1121037-g001_A_1_2.webp,PMC10073726_01_fcvm-10-1121037-g001.jpg,a,PMC10073726_01,CC BY,14976,"Chest radiography . The heart shadow was significantly enlarged ; the left and right pulmonary veins were not connected to the left atrium but merged into a vertical vein and drained upward into the left brachiocephalic vein, innominate vein and then the superior vena cava.","['Figure S1A', 'Figure 1A']",radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0001861,PMC10077807_SJA-17-101-g001_undivided_1_1.webp,PMC10077807_01_SJA-17-101-g001.jpg,undivided,PMC10077807_01,CC BY-NC-SA,15970,Chest X-ray showing Scimitar sign.,['Figure 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0001862,PMC10077973_mdcvj-19-1-1191-g1_undivided_1_1.webp,PMC10077973_01_mdcvj-19-1-1191-g1.jpg,undivided,PMC10077973_01,CC BY,33592,Chest radiograph at emergency department upon patient arrival. The radiograph showed clear lung fields.,['Figure 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0002019,PMC10088559_fonc-13-1109643-g007_A_1_2.webp,PMC10088559_01_fonc-13-1109643-g007.jpg,a,PMC10088559_01,CC BY,19402,"3 months follow-up after the surgery, x-ray display of thoracic spine showing transpedicular screw and a titanium mesh were used in the reconstruction of the stability of the spine in patient. Orthotopic position.",['Figure 7'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0002020,PMC10088559_fonc-13-1109643-g007_B_2_2.webp,PMC10088559_01_fonc-13-1109643-g007.jpg,b,PMC10088559_01,CC BY,16240,"3 months follow-up after the surgery, x-ray display of thoracic spine showing transpedicular screw and a titanium mesh were used in the reconstruction of the stability of the spine in patient. . Side position).",['Figure 7'],radiology,x_ray,thorax,thorax,sagittal,"['thorax', 'radiology', 'sagittal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0002387,PMC10117017_AJPS-20-67-g001_undivided_1_1.webp,PMC10117017_01_AJPS-20-67-g001.jpg,undivided,PMC10117017_01,CC BY-NC-SA,11372,Chest and abdominal X-ray showed marked gaseous distension of the stomach (S) and proximal duodenum. Bowel gas is seen beyond the proximal duodenum.,['Figure 1'],radiology,x_ray,abdomen,abdomen,frontal,"['abdomen', 'radiology', 'frontal', 'x_ray']","['radiology', 'x_ray']",True
file_0002395,PMC10117026_AJPS-20-77-g002_undivided_1_1.webp,PMC10117026_01_AJPS-20-77-g002.jpg,undivided,PMC10117026_01,CC BY-NC-SA,12316,Chest radiography of the patient.,['Figure 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0002431,PMC10118214_JGID-15-35-g001_undivided_1_1.webp,PMC10118214_01_JGID-15-35-g001.jpg,undivided,PMC10118214_01,CC BY-NC-SA,35450,"Chest X-ray image showing a cavity containing crumpled membranous structure floating at air-fluid interface. Furthermore, residual pneumothorax is present on the left side with intercostal drainage tube in situ.",['Figure 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0002586,PMC10130855_gr1_undivided_1_1.webp,PMC10130855_01_gr1.jpg,undivided,PMC10130855_01,CC BY,15212,Chest X-ray portable revealed bilateral widespread patchy areas of airspace Opacification (Red arrows.,['Fig. 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray', 'mass']",True
file_0002691,PMC10144409_HV-24-54-g002_undivided_1_1.webp,PMC10144409_01_HV-24-54-g002.jpg,undivided,PMC10144409_01,CC BY-NC-SA,25524,Chest X-ray showing a mild increase in cardiothoracic ratio with normal pulmonary vasculature markings.,['Figure 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0002905,PMC10152958_JOCR-13-1-g001_undivided_1_1.webp,PMC10152958_01_JOCR-13-1-g001.jpg,undivided,PMC10152958_01,CC BY-NC-SA,15928,"Chest X-ray PA view showing a well-defined oval shaped lesion with coarse chondroid calcification and non-visualization of posterior aspect of the right seventh, eighth, and ninth vertebra with widening of the right seventh and eighth intercoastal spaces.",['Fig. 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'frontal', 'posteroanterior', 'x_ray', 'mass']",True
file_0002915,PMC10152961_JOCR-13-92-g001_a_1_4.webp,PMC10152961_01_JOCR-13-92-g001.jpg,a,PMC10152961_01,CC BY-NC-SA,9886,Chest X-ray posterior anterior view showing nodular sclerotic lesion near 6th rib right side.,['Fig. 1a'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'frontal', 'anteroposterior', 'x_ray', 'mass']",True
file_0003024,PMC10155736_pocusj-08-15894-g001_undivided_1_1.webp,PMC10155736_01_pocusj-08-15894-g001.jpg,undivided,PMC10155736_01,CC BY,38460,Anteroposterior view chest X-ray showing a mediastinal lesion (*).,['Figure 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'frontal', 'anteroposterior', 'x_ray', 'mass']",True
file_0003296,PMC10159319_SNI-14-111-g005_undivided_1_1.webp,PMC10159319_01_SNI-14-111-g005.jpg,undivided,PMC10159319_01,CC BY-NC-SA,16928,Plain chest X-ray showed permanent pacemaker.,['Figure 5'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003516,PMC10166211_jchimp-13-02-037f1_undivided_1_1.webp,PMC10166211_01_jchimp-13-02-037f1.jpg,undivided,PMC10166211_01,CC BY-NC,13046,Chest X-ray showed possible right small pleural effusion.,['Fig. 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003518,PMC10166211_jchimp-13-02-037f3_undivided_1_1.webp,PMC10166211_01_jchimp-13-02-037f3.jpg,undivided,PMC10166211_01,CC BY-NC,9878,CXR showed large right sided pleural effusion.,['Fig. 3'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003533,PMC10166223_jchimp-13-02-076f1_A_1_1.webp,PMC10166223_01_jchimp-13-02-076f1.jpg,a,PMC10166223_01,CC BY-NC,19126,"Chest X-ray (A-P portable film), significant for bilateral lower lobe patchy infiltrates.",['Fig. 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003534,PMC10166223_jchimp-13-02-076f2_undivided_1_1.webp,PMC10166223_04_jchimp-13-02-076f2.jpg,undivided,PMC10166223_04,CC BY-NC,16384,"CXR with A-P portable film, significant for bilateral infiltrates.",['Fig. 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003535,PMC10166223_jchimp-13-02-076f3_undivided_1_1.webp,PMC10166223_05_jchimp-13-02-076f3.jpg,undivided,PMC10166223_05,CC BY-NC,15498,"CXR portable film, significant for a right lower lobe infiltrate.",['Fig. 3'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003592,PMC10167818_JETS-16-22-g002_undivided_1_1.webp,PMC10167818_01_JETS-16-22-g002.jpg,undivided,PMC10167818_01,CC BY-NC-SA,16052,Chest roentgen on arrival at 90 min from the first call. Chest roentgen showed bilateral butterfly shadow in the lung fields.,['Figure 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0003597,PMC10167838_fped-11-1152731-g003_undivided_1_1.webp,PMC10167838_08_fped-11-1152731-g003.jpg,undivided,PMC10167838_08,CC BY,47216,"Foot radiographs from Patients 1, 3, 4, 5, 7, and 8, and spine radiographs from Patients 1, 4, 6, and 7 (foot radiographs). Patient 1: Deformed heads of bilateral first metatarsals and proximal phalanges with hallux valgus. Fused proximal and distal phalanges of both big toes. Patient 3: Deformed heads of bilateral first metatarsals and phalanges of bilateral big toes. They are hypoplastic and short with fusion of proximal and distal phalanges of both big toes. Patient 4: Tri-phalangeal big toes on both sides with fusion of the proximal and middle phalanges. Subtle hallux valgus. Patient 5: Subtle hallux valgus. Patient 7: Dysplastic heads of bilateral first metatarsals and proximal phalanges of both big toes. Right big toe appears short. Patient 8: Bilateral heads of first metatarsals appear dysplastic with short hypoplastic bilateral big toes with single phalanx. Bilateral hallux valgus (spine radiographs) Patient 1: Ossifications of the paravertebral soft tissue demonstrated on the lateral view with a kyphotic spinal curvature. Patient 4: Extreme kyphoscoliosis of the whole spine with segments of cervical spine fusion and impending chin-on-chest deformity. Patient 6: Relative preservation of normal thoracic spinal alignment with no major heterotopic ossifications. This spinal radiograph is taken at similar age as that of Patient 1. Patient 7: Paraspinal soft tissue ossifications extending from upper back down to upper sacral level with relatively preserved vertical spinal alignment. This spinal radiograph is taken at similar age as that of Patient 4.",[],radiology,x_ray,thorax,thorax,sagittal,"['thorax', 'radiology', 'sagittal', 'x_ray']","['radiology', 'sagittal', 'x_ray']",True
file_0003644,PMC10170463_vrf-14-237-g001_B_2_3.webp,PMC10170463_01_vrf-14-237-g001.jpg,b,PMC10170463_01,CC BY-NC-SA,2846,"Radiographic findings in case 1. Dorsoventral views at the first presentation showing alveolar patterns in all lobes (yellow arrowheads). The diffuse alveolar pattern obscured the cardiac silhouette, however, it appeared large compared to the thorax (red arrows).",['Fig. 1B'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0003645,PMC10170463_vrf-14-237-g001_C_3_3.webp,PMC10170463_01_vrf-14-237-g001.jpg,c,PMC10170463_01,CC BY-NC-SA,2534,Radiographic findings in case 1. C) The alveolar pattern was improved on the following day after management with furosemide. The cardiothoracic ratio was 59.10% and the heart size was normal.,['Fig. 1C'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0003648,PMC10170463_vrf-14-237-g003_A_1_3.webp,PMC10170463_03_vrf-14-237-g003.jpg,a,PMC10170463_03,CC BY-NC-SA,2378,Radiographic findings in case 2. A) A mixed interstitial-alveolar pattern in the right lung field on the dorsoventral view (yellow arrowhead) was found.,[],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0003713,PMC10173138_AIT-52-40109-g002_A_1_3.webp,PMC10173138_01_AIT-52-40109-g002.jpg,a,PMC10173138_01,CC BY-NC-SA,2826,Chest X-ray. A) Chest X-ray at admission to hospital.,['Figure 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003714,PMC10173138_AIT-52-40109-g002_B_2_3.webp,PMC10173138_01_AIT-52-40109-g002.jpg,b,PMC10173138_01,CC BY-NC-SA,3870,"Chest X-ray. B) Chest X-ray after the treatment, at the end of hospitalization.",['Figure 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003715,PMC10173138_AIT-52-40109-g002_C_3_3.webp,PMC10173138_01_AIT-52-40109-g002.jpg,c,PMC10173138_01,CC BY-NC-SA,6244,Chest X-ray. C) Image of patient in treatment with high-flow nasal cannula.,['Figure 2'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003721,PMC10173306_fcvm-10-1103918-g001_A_1_6.webp,PMC10173306_01_fcvm-10-1103918-g001.jpg,a,PMC10173306_01,CC BY,8390,Chest computed tomography demonstrated cardiac mass of Case1. Chest x-ray.,['Figure 1A'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",['radiology'],True
file_0003736,PMC10173306_fcvm-10-1103918-g003_A_1_8.webp,PMC10173306_02_fcvm-10-1103918-g003.jpg,a,PMC10173306_02,CC BY,7250,"Comparison of lung metastases and cardiac mass before and after chemotherapy of Case2. (A,B) Frontal and lateral Chest x-ray demonstrated extensive pulmonary lesions.","['Figures 3A,B']",radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'malignant', 'x_ray', 'mass']",True
file_0003737,PMC10173306_fcvm-10-1103918-g003_B_2_8.webp,PMC10173306_02_fcvm-10-1103918-g003.jpg,b,PMC10173306_02,CC BY,7030,"Comparison of lung metastases and cardiac mass before and after chemotherapy of Case2. (A,B) Frontal and lateral Chest x-ray demonstrated extensive pulmonary lesions.","['Figures 3A,B']",radiology,x_ray,thorax,thorax,sagittal,"['thorax', 'radiology', 'sagittal', 'x_ray']","['radiology', 'thorax', 'malignant', 'x_ray', 'mass']",True
file_0003820,PMC10174454_fmed-10-1148555-g002_A_1_5.webp,PMC10174454_01_fmed-10-1148555-g002.jpg,a,PMC10174454_01,CC BY,3638,Dynamics of chest X-ray after adding a continuous infusion of meropenem: CXR on the 1st day.,['Figure 2A'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003821,PMC10174454_fmed-10-1148555-g002_B_2_5.webp,PMC10174454_01_fmed-10-1148555-g002.jpg,b,PMC10174454_01,CC BY,2334,CXR on the 2nd day.,['Figure 2B'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003822,PMC10174454_fmed-10-1148555-g002_C_3_5.webp,PMC10174454_01_fmed-10-1148555-g002.jpg,c,PMC10174454_01,CC BY,2068,CXR on the 3rd day.,['Figure 2C'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003823,PMC10174454_fmed-10-1148555-g002_D_4_5.webp,PMC10174454_01_fmed-10-1148555-g002.jpg,d,PMC10174454_01,CC BY,3148,CXR on the 5th day.,['Figure 2D'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003824,PMC10174454_fmed-10-1148555-g002_E_5_5.webp,PMC10174454_01_fmed-10-1148555-g002.jpg,e,PMC10174454_01,CC BY,3474,CXR after 6 days of continuous infusion of meropenem (11th day of hospitalization).,['Figure 2E'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0003953,PMC10183174_PHMT-14-141-g0001_A_1_2.webp,PMC10183174_01_PHMT-14-141-g0001.jpg,a,PMC10183174_01,CC BY-NC,4952,(A) Nonobstructive bowel gas pattern with minimal to absent air in the bowel loops. Haziness in left lung base due to left effusion with possible left basilar atelectasis.,[],radiology,x_ray,abdomen,abdomen,frontal,"['abdomen', 'radiology', 'frontal', 'x_ray']",[],True
file_0003954,PMC10183174_PHMT-14-141-g0001_B_2_2.webp,PMC10183174_01_PHMT-14-141-g0001.jpg,b,PMC10183174_01,CC BY-NC,7510,(B) Diffuse opacification of the left hemithorax with a large curvilinear lucency within the left hemithorax which were concerning for possible left diaphragmatic hernia.,[],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']",[],True
file_0004001,PMC10184060_43162_2023_221_Fig1_HTML_undivided_1_1.webp,PMC10184060_01_43162_2023_221_Fig1_HTML.jpg,undivided,PMC10184060_01,CC BY,6438,Chest X-ray showing bilateral patchy infiltration upon admission.,['Fig. 1'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0004003,PMC10184060_43162_2023_221_Fig3_HTML_undivided_1_1.webp,PMC10184060_01_43162_2023_221_Fig3_HTML.jpg,undivided,PMC10184060_01,CC BY,9350,Chest X-ray showing worsening of the previously noted bilateral patchy infiltration upon recurrent admission.,['Fig. 3'],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
file_0004520,PMC10203611_fendo-14-1164386-g001_F_6_8.webp,PMC10203611_03_fendo-14-1164386-g001.jpg,f,PMC10203611_03,CC BY,3886,(F) X-ray of the chest.,[],radiology,x_ray,thorax,thorax,frontal,"['thorax', 'radiology', 'frontal', 'x_ray']","['radiology', 'thorax', 'x_ray']",True
